,DateReceived,Website,URLCount,R1Time,CrawlIssues,WebReviewDif,WebsitePriority,ErrorCount,R2Time,TeamLeadSBQ,QMSBQ,CxPending,CxComplete,TotalSBQ,Sent,DateSent,Title,Brand,MFR,BC,Color,Size,IPQ,UC,Model,UPC,MPN,WebExtractionDif,SloppyError,IncorrectVariant,NewEdgeCase,IncorrectGuidance,Other?,Was it a 3?,MXQA_Encoded,TeamLead_Encoded,QM_Encoded,Month_Encoded,DP_Encoded,DualReviewer_Encoded,Batch Status
632,10/18/2021,deerstags.com,17,140,100,5,0,0,71,0,0,True,True,0,True,10/19/2021,3,1,1,2,2,2,1,1,2,2,1,1.69,1,0,0,False,0,False,8,2,6,3,2,21,0
621,10/18/2021,mgchemicals.com,194,500,0,4,1,1,190,0,0,False,False,0,True,10/21/2021,1,1,1,1,2,2,1,1,3,1,1,1.46,1,0,0,False,0,False,34,4,6,3,7,,0
703,10/26/2021,godogfun.com,30,90,0,1,3,0,30,0,0,False,False,0,True,10/26/2021,1,2,2,1,1,1,1,1,1,1,1,1.15,0,0,0,False,0,True,26,3,7,3,8,,1
223,11/16/2021,tourit.com,20,120,0,1,3,4,70,1,0,False,False,1,True,11/17/2021,1,1,1,1,1,1,1,1,2,1,1,1.28,0,0,0,False,0,True,29,3,6,2,8,,1
14,NaT,manicpanic.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,40,3,1,0,2,,0
15,NaT,aquis.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,False,0,False,31,2,4,0,13,,0
945,9/27/2021,ecovacs.com,10,139,0,3,4,2,71,0,0,False,False,0,True,NaT,2,3,2,1,1,1,1,1,1,1,1,1.36,0,0,0,False,0,False,14,4,6,4,8,,1
778,9/27/2021,shop.westerndigital.com,48,139,100,4,1,2,71,0,0,False,False,0,True,NaT,1,1,1,1,4,1,1,1,2,1,1,1.8,1,0,0,False,0,False,13,2,1,4,0,,0
695,10/25/2021,apple.com,30,120,0,3,4,5,90,1,0,False,False,1,True,10/26/2021,1,2,2,2,1,3,1,1,2,2,2,2.06,1,0,0,False,0,False,28,9,6,3,9,,0
972,9/29/2021,otterbox.de,38,150,100,1,3,0,60,0,0,False,False,0,True,9/30/2021,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,False,0,True,34,7,4,4,8,,1
103,11/11/2021,hiletgo.com,30,120,0,1,3,9,80,1,0,False,False,1,True,11/12/2021,1,2,2,1,1,1,1,1,1,1,1,1.53,0,0,0,False,0,True,29,3,6,2,9,,0
20,NaT,vaude.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,38,3,1,1,13,,0
618,10/19/2021,stigaus.com,22,80,0,1,3,1,40,0,0,False,False,0,True,10/19/2021,1,1,2,1,2,1,1,1,1,2,1,1.3,0,0,0,False,0,True,18,0,4,3,8,,1
0,NaT,bedhead.com,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,11,3,8,0,11,,0
810,9/27/2021,hendi.pl,84,139,100,3,4,2,71,0,0,False,False,0,True,NaT,1,1,1,1,1,2,1,1,3,1,1,1.6,0,0,0,False,0,False,42,2,8,4,8,,1
944,9/27/2021,littlegiantladders.com,22,139,0,1,3,2,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,False,0,True,32,2,4,4,8,,1
301,11/20/2021,medisana.es,46,200,0,1,3,0,15,0,0,False,False,0,True,11/22/2021,1,2,2,2,2,2,2,2,2,2,2,1.92,0,0,0,False,0,True,14,2,1,2,8,,1
542,10/10/2021,parentschoice.org,28,120,0,1,3,0,40,0,0,False,False,0,True,10/11/2021,1,1,1,1,1,1,1,1,2,1,1,1.08,0,0,0,True,0,True,28,9,7,3,3,,0
11,NaT,homefashion.de,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,2,5,8,0,4,,0
26,NaT,krups.com.pl,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,9,1,8,1,11,,0
47,11/02/2021,coghlans.com,40,140,0,3,4,3,100,0,0,False,False,0,True,11/03/2021,1,2,2,3,3,3,4,4,1,1,1,2.43,0,0,0,False,0,False,14,2,8,2,8,5,1
27,NaT,rowenta.pl,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,39,3,8,1,2,,0
170,11/08/2021,kyliecosmetics.com,28,90,0,1,3,0,80,0,0,False,False,0,True,11/09/2021,1,2,2,1,1,1,1,1,3,1,1,1.31,0,0,0,False,0,True,4,4,5,2,8,,1
242,11/15/2021,karmaorganicspa.com,24,150,100,1,3,0,40,0,0,False,False,0,True,11/16/2021,1,1,2,2,1,1,1,1,3,1,1,1.3,0,0,0,False,0,True,26,3,7,2,8,,1
994,9/29/2021,jackjones.com,30,120,100,3,4,0,50,0,0,False,False,0,True,9/29/2021,1,1,2,2,2,2,1,1,1,1,1,1.36,0,0,0,False,0,False,8,3,1,4,8,,1
1075,NaT,natrol.pk,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,6,7,1,4,12,,0
579,10/21/2021,shop.tooli-art.com,22,120,100,3,4,0,90,0,0,False,False,0,True,10/20/2021,1,1,1,1,1,1,2,2,1,1,1,1.16,0,0,0,False,1,False,30,5,1,3,4,,0
7,NaT,loreal-paris.de,40,139,25,2,2,3,71,0,0,False,False,0,True,NaT,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,False,0,False,41,,1,0,10,,0
